,CUST OCCU,SALARY,BPKB NAME,Harga Motor,SPOUSE SALARY,BIRTH DATE,ANGSURAN,GROUP OVERDUE DAYS
0,PETANI,3000000.0,DIFFERENT,6300000,1000000.0,54,344000,c) 1-30
1,PEDAGANG,5000000.0,SAME,6600000,2000000.0,47,393000,a) LANCAR
2,Pegawai Negeri Sipil,5000000.0,SAME,7000000,750000.0,35,560000,c) 1-30
3,PEDAGANG,3000000.0,DIFFERENT,4200000,,25,308000,c) 1-30
4,BURUH/PRT,2500000.0,DIFFERENT,4500000,1200000.0,48,362000,c) 1-30
5,JASA,5000000.0,DIFFERENT,4700000,1500000.0,56,385000,c) 1-30
6,PEDAGANG,4500000.0,SAME,15200000,,31,994000,c) 1-30
7,JASA,4000000.0,DIFFERENT,7000000,2000000.0,44,343000,c) 1-30
8,PEGAWAI SWASTA,3500000.0,DIFFERENT,13500000,,29,520000,c) 1-30
9,JASA,4000000.0,DIFFERENT,13000000,2000000.0,44,628000,c) 1-30
10,JASA,6000000.0,DIFFERENT,8800000,1000000.0,26,475000,a) LANCAR
11,PETERNAK,5000000.0,DIFFERENT,6800000,1000000.0,35,393000,a) LANCAR
12,SOPIR/PENGEMUDI,4000000.0,DIFFERENT,18900000,1500000.0,40,788000,a) LANCAR
13,PEGAWAI SWASTA,3000000.0,DIFFERENT,11600000,,23,588000,a) LANCAR
14,PEGAWAI SWASTA,4000000.0,DIFFERENT,10500000,1000000.0,42,651000,a) LANCAR
15,JASA,4000000.0,DIFFERENT,8600000,1000000.0,44,613000,a) LANCAR
16,PEDAGANG,4400000.0,DIFFERENT,16800000,,52,1205000,a) LANCAR
17,PEGAWAI SWASTA,4500000.0,DIFFERENT,9000000,,29,629000,a) LANCAR
18,PEGAWAI SWASTA,4500000.0,DIFFERENT,10900000,1000000.0,49,523000,a) LANCAR
19,JASA,2500000.0,DIFFERENT,4200000,1000000.0,60,308000,a) LANCAR
20,PEDAGANG,4500000.0,DIFFERENT,4300000,,27,354000,a) LANCAR
21,PEDAGANG,3000000.0,DIFFERENT,5800000,1000000.0,47,401000,a) LANCAR
22,BURUH/PRT,3500000.0,DIFFERENT,6000000,,35,411000,a) LANCAR
23,PETANI,2000000.0,DIFFERENT,5200000,1000000.0,48,401000,a) LANCAR
24,SENIMAN,2500000.0,DIFFERENT,7900000,2000000.0,43,393000,a) LANCAR
25,PEGAWAI SWASTA,5000000.0,SAME,5600000,,25,384000,a) LANCAR
26,JASA,4500000.0,DIFFERENT,7000000,1500000.0,26,393000,a) LANCAR
27,PEGAWAI SWASTA,2300000.0,SAME,12100000,,25,393000,a) LANCAR
28,BURUH/PRT,4000000.0,DIFFERENT,6000000,1500000.0,47,452000,a) LANCAR
29,PEGAWAI SWASTA,3500000.0,DIFFERENT,9800000,,22,475000,a) LANCAR
30,PEGAWAI SWASTA,4500000.0,DIFFERENT,7000000,,42,390000,a) LANCAR
31,PEDAGANG,5000000.0,DIFFERENT,6500000,,45,362000,a) LANCAR
32,PETANI,3000000.0,SAME,8300000,4000000.0,54,702000,a) LANCAR
33,APARATUR PEMERINTAH,4500000.0,DIFFERENT,13900000,,54,1137000,d) 31-60
34,PEDAGANG,4000000.0,DIFFERENT,5000000,900000.0,38,441000,a) LANCAR
